1,,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
2,0,32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,UK,White
3,1,28.0,Female,Master's,Data Analyst,3.0,65000.0,USA,Hispanic
4,2,45.0,Male,PhD,Senior Manager,15.0,150000.0,Canada,White
5,3,36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,USA,Hispanic
6,4,52.0,Male,Master's,Director,20.0,200000.0,USA,Asian
7,5,29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,USA,Hispanic
8,6,42.0,Female,Master's,Product Manager,12.0,120000.0,USA,Asian
9,7,31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,China,Korean
10,8,26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,China,Chinese
11,9,38.0,Male,PhD,Senior Scientist,10.0,110000.0,Australia,Australian
12,10,29.0,Male,Master's,Software Developer,3.0,75000.0,UK,Welsh
13,11,48.0,Female,Bachelor's,HR Manager,18.0,140000.0,UK,Asian
14,12,35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,China,Korean
15,13,40.0,Female,Master's,Project Manager,14.0,130000.0,USA,African American
16,14,27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,Canada,Asian
17,15,44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,China,Chinese
18,16,33.0,Female,Master's,Marketing Manager,7.0,90000.0,USA,Asian
19,17,39.0,Male,PhD,Senior Engineer,12.0,115000.0,UK,Mixed
20,18,25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,UK,Asian
21,19,51.0,Male,Bachelor's,Sales Director,22.0,180000.0,Australia,Asian
22,20,34.0,Female,Master's,Business Analyst,5.0,80000.0,China,Korean
23,21,47.0,Male,Master's,VP of Operations,19.0,190000.0,UK,White
24,22,30.0,Male,Bachelor's,IT Support,2.0,50000.0,UK,Asian
25,23,36.0,Female,Bachelor's,Recruiter,9.0,60000.0,China,White
26,24,41.0,Male,Master's,Financial Manager,13.0,140000.0,USA,African American
27,25,28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,Canada,White
28,26,37.0,Female,Master's,Software Manager,11.0,110000.0,Australia,Asian
29,27,24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,Australia,Asian
30,28,43.0,Female,PhD,Senior Consultant,15.0,140000.0,Canada,Black
31,29,33.0,Male,Master's,Product Designer,6.0,90000.0,China,Korean
32,30,50.0,Male,Bachelor's,CEO,25.0,250000.0,Canada,Asian
33,31,31.0,Female,Bachelor's,Accountant,4.0,55000.0,UK,White
34,32,29.0,Male,Master's,Data Scientist,3.0,75000.0,USA,Hispanic
35,33,39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,Canada,White
36,34,46.0,Male,PhD,Senior Manager,20.0,170000.0,USA,Hispanic
37,35,27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,Australia,Asian
38,36,35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,UK,White
39,37,42.0,Male,Master's,Project Engineer,14.0,115000.0,China,White
40,38,26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,Canada,Asian
41,39,49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,China,White
42,40,34.0,Female,Master's,UX Designer,5.0,80000.0,UK,Asian
43,41,48.0,Male,Master's,Operations Director,18.0,190000.0,Canada,Black
44,42,30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,China,Korean
45,43,36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,UK,Asian
46,44,41.0,Male,Master's,Strategy Consultant,13.0,130000.0,UK,Asian
47,45,28.0,Female,Bachelor's,Copywriter,2.0,40000.0,USA,White
48,46,32.0,Male,Bachelor's,Account Manager,5.0,75000.0,Australia,Asian
49,47,45.0,Female,Master's,Director of Marketing,16.0,180000.0,UK,Welsh
50,48,38.0,Male,PhD,Senior Scientist,11.0,120000.0,Australia,Asian
51,49,25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,USA,Asian
52,50,51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,China,Korean
53,51,33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,Australia,Australian
54,52,40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,China,White
55,53,47.0,Male,Master's,VP of Finance,19.0,200000.0,Australia,Asian
56,54,29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,Canada,Black
57,55,36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,China,Korean
58,56,27.0,Female,Master's,UX Researcher,2.0,65000.0,Canada,White
59,57,43.0,Male,PhD,Senior Engineer,17.0,140000.0,USA,Hispanic
60,58,30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,Canada,White
61,59,35.0,Male,Master's,Product Manager,7.0,105000.0,Canada,Asian
62,60,51.0,Female,Master's,Director of Operations,23.0,170000.0,USA,African American
63,61,29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,China,Chinese
64,62,40.0,Female,Bachelor's,HR Manager,12.0,80000.0,China,Korean
65,63,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,China,White
66,64,26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,Australia,Australian
67,65,38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,China,Korean
68,66,46.0,Male,Bachelor's,IT Manager,19.0,120000.0,Australia,Australian
69,67,31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,Canada,Asian
70,68,34.0,Male,Master's,Business Development Manager,8.0,90000.0,Canada,Asian
71,69,49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,Canada,White
72,70,33.0,Male,Bachelor's,Web Developer,6.0,65000.0,USA,Hispanic
73,71,39.0,Female,Bachelor's,Recruiter,11.0,70000.0,USA,Asian
74,72,45.0,Male,PhD,Research Director,16.0,190000.0,UK,Mixed
75,73,28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,China,Korean
76,74,42.0,Female,Master's,Creative Director,14.0,120000.0,Canada,Black
77,75,37.0,Male,Bachelor's,Project Manager,10.0,95000.0,USA,Asian
78,76,50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,USA,White
79,77,32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,USA,African American
80,78,48.0,Female,Master's,Human Resources Director,20.0,180000.0,Canada,Black
81,79,30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,Australia,White
82,80,36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,UK,Asian
83,81,41.0,Female,Master's,Data Analyst,13.0,80000.0,USA,White
84,82,25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,Australia,Asian
85,83,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,Canada,Black
86,84,29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,Australia,Asian
87,85,34.0,Female,Master's,Financial Advisor,10.0,95000.0,UK,White
88,86,27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,Canada,White
89,87,40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,USA,Hispanic
90,88,46.0,Male,Master's,Senior Project Manager,21.0,135000.0,Canada,Asian
91,89,31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,Australia,Asian
92,90,36.0,Male,PhD,Principal Scientist,11.0,120000.0,UK,Mixed
93,91,29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,China,White
94,92,43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,UK,Welsh
95,93,52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,China,Chinese
96,94,33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,Australia,Australian
97,95,39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,USA,African American
98,96,47.0,Male,PhD,Research Scientist,22.0,160000.0,Australia,Asian
99,97,26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,China,White
100,98,38.0,Female,Master's,Public Relations Manager,10.0,90000.0,UK,Asian
101,99,45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,China,Chinese
102,100,31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,Australia,Asian
103,101,35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,China,White
104,102,49.0,Female,Master's,Senior HR Manager,19.0,150000.0,Australia,White
105,103,33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,Canada,Asian
106,104,39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,UK,Welsh
107,105,44.0,Male,PhD,Chief Data Officer,16.0,220000.0,USA,African American
108,106,30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,UK,White
109,107,36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,USA,Asian
110,108,41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,USA,White
111,109,28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,USA,Hispanic
112,110,42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,USA,Asian
113,111,37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,UK,White
114,112,50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,UK,Welsh
115,113,32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,USA,Asian
116,114,23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,USA,White
117,115,31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,Australia,Asian
118,116,40.0,Female,Bachelor's,Office Manager,15.0,65000.0,USA,White
119,117,48.0,Male,PhD,Principal Engineer,20.0,170000.0,USA,Hispanic
120,118,29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,Australia,Australian
121,119,35.0,Male,Master's,Senior Product Manager,10.0,120000.0,Canada,White
122,120,42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,China,Korean
123,121,53.0,Male,Master's,Director of Marketing,25.0,180000.0,UK,Mixed
124,122,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,Australia,Australian
125,123,38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,China,White
126,124,44.0,Female,PhD,Senior Scientist,16.0,140000.0,UK,Mixed
127,125,26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,UK,White
128,126,37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,USA,African American
129,127,45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,UK,White
130,128,32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,USA,White
131,129,34.0,Male,Master's,Senior Software Developer,8.0,105000.0,Canada,White
132,130,50.0,Female,Master's,Director of Operations,21.0,160000.0,UK,White
133,131,29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,China,White
134,132,40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,Canada,Black
135,133,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,USA,Hispanic
136,134,27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,UK,Mixed
137,135,39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,Canada,Black
138,136,46.0,Male,Master's,Senior Project Manager,19.0,140000.0,Canada,Black
139,137,30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,Canada,White
140,138,36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,Australia,Asian
141,139,43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,Australia,White
142,140,28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,USA,White
143,141,41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,Australia,Australian
144,142,33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,USA,Hispanic
145,143,47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,China,White
146,144,25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,Australia,Asian
147,145,34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,Australia,Asian
148,146,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,China,Chinese
149,147,31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,UK,Welsh
150,148,38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,USA,African American
151,149,45.0,Male,Master's,Director of Sales,19.0,175000.0,Canada,Black
152,150,29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,Australia,Australian
153,151,36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,Canada,Black
154,152,43.0,Female,PhD,Senior Product Designer,18.0,140000.0,Australia,Asian
155,153,26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,USA,Asian
156,154,37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,Canada,White
157,155,44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,USA,African American
158,156,32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,USA,Asian
159,157,33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,China,Korean
160,158,51.0,Female,PhD,Director of Human Resources,23.0,185000.0,China,Chinese
161,159,28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,Australia,White
162,160,39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,USA,Asian
163,161,48.0,Male,Master's,Director of Product Management,21.0,175000.0,USA,Asian
164,162,30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,UK,Mixed
165,163,35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,China,White
166,164,41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,China,Korean
167,165,27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,China,White
168,166,40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,Australia,Australian
169,167,46.0,Male,PhD,Senior Researcher,18.0,150000.0,Canada,Black
170,168,31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,China,Korean
171,169,34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,China,Korean
172,170,50.0,Female,Master's,Director of Finance,20.0,180000.0,Australia,Australian
173,171,29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Canada,Asian
174,172,,,,,,,UK,White
175,173,43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,UK,White
176,174,26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,Canada,Asian
177,175,35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,China,White
178,176,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,UK,Asian
179,177,31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,UK,Welsh
180,178,38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,UK,Asian
181,179,46.0,Male,Master's,Director of Operations,20.0,170000.0,USA,Asian
182,180,29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,UK,Welsh
183,181,37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,China,Chinese
184,182,44.0,Female,PhD,Senior UX Designer,15.0,145000.0,USA,Hispanic
185,183,27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,USA,Hispanic
186,184,36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,USA,African American
187,185,43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,China,Chinese
188,186,33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,Canada,White
189,187,34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,UK,Mixed
190,188,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,China,Korean
191,189,28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,UK,Welsh
192,190,39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,USA,African American
193,191,47.0,Male,Master's,Director of Business Development,19.0,170000.0,Australia,Asian
194,192,30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,Australia,Australian
195,193,34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,China,Chinese
196,194,40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,UK,Welsh
197,195,28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,USA,African American
198,196,41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,Canada,Asian
199,197,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,UK,Asian
200,198,32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,Australia,Asian
201,199,35.0,Male,Master's,Senior Software Developer,9.0,110000.0,Canada,Asian
202,200,49.0,Female,Master's,Director of Human Capital,21.0,180000.0,UK,Mixed
203,201,30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,UK,White
204,202,44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,USA,Asian
